Navn;Stasjon;Tid(norsk normaltid);Snødybde;Nedbør (døgn);Middeltemperatur (døgn);Gjennomsnittlig skydekke (døgn);Høyeste middelvind (døgn)
Sjusjøen - Storåsen;SN12960;01.11.1977;0;21,4;-;-;-
Sjusjøen - Storåsen;SN12960;02.11.1977;0;0,3;-;-;-
Sjusjøen - Storåsen;SN12960;03.11.1977;0;5,5;-;-;-
Sjusjøen - Storåsen;SN12960;04.11.1977;38;42,6;-;-;-
Sjusjøen - Storåsen;SN12960;05.11.1977;36;1,3;-;-;-
Sjusjøen - Storåsen;SN12960;06.11.1977;35;8,6;-;-;-
Sjusjøen - Storåsen;SN12960;07.11.1977;25;8;-;-;-
Sjusjøen - Storåsen;SN12960;08.11.1977;13;2,7;-;-;-
Sjusjøen - Storåsen;SN12960;09.11.1977;16;4,7;-;-;-
Sjusjøen - Storåsen;SN12960;10.11.1977;15;0;-;-;-
Sjusjøen - Storåsen;SN12960;11.11.1977;15;0;-;-;-
Sjusjøen - Storåsen;SN12960;12.11.1977;12;1,9;-;-;-
Sjusjøen - Storåsen;SN12960;13.11.1977;22;12,9;-;-;-
Sjusjøen - Storåsen;SN12960;14.11.1977;20;0;-;-;-
Sjusjøen - Storåsen;SN12960;15.11.1977;27;8,4;-;-;-
Sjusjøen - Storåsen;SN12960;16.11.1977;29;3,5;-;-;-
Sjusjøen - Storåsen;SN12960;17.11.1977;29;0;-;-;-
Sjusjøen - Storåsen;SN12960;18.11.1977;28;0;-;-;-
Sjusjøen - Storåsen;SN12960;19.11.1977;26;1;-;-;-
Sjusjøen - Storåsen;SN12960;20.11.1977;25;0;-;-;-
Sjusjøen - Storåsen;SN12960;21.11.1977;25;0;-;-;-
Sjusjøen - Storåsen;SN12960;22.11.1977;25;0,3;-;-;-
Sjusjøen - Storåsen;SN12960;23.11.1977;25;0;-;-;-
Sjusjøen - Storåsen;SN12960;24.11.1977;24;0,1;-;-;-
Sjusjøen - Storåsen;SN12960;25.11.1977;23;1,3;-;-;-
Sjusjøen - Storåsen;SN12960;26.11.1977;22;0;-;-;-
Sjusjøen - Storåsen;SN12960;27.11.1977;23;0;-;-;-
Sjusjøen - Storåsen;SN12960;28.11.1977;23;0;-;-;-
Sjusjøen - Storåsen;SN12960;29.11.1977;23;0;-;-;-
Sjusjøen - Storåsen;SN12960;30.11.1977;23;0;-;-;-
Sjusjøen - Storåsen;SN12960;01.12.1977;23;0;-;-;-
Sjusjøen - Storåsen;SN12960;02.12.1977;23;0;-;-;-
Sjusjøen - Storåsen;SN12960;03.12.1977;23;0;-;-;-
Sjusjøen - Storåsen;SN12960;04.12.1977;23;0;-;-;-
Sjusjøen - Storåsen;SN12960;05.12.1977;23;0;-;-;-
Sjusjøen - Storåsen;SN12960;06.12.1977;23;0;-;-;-
Sjusjøen - Storåsen;SN12960;07.12.1977;30;5;-;-;-
Sjusjøen - Storåsen;SN12960;08.12.1977;48;9;-;-;-
Sjusjøen - Storåsen;SN12960;09.12.1977;45;3;-;-;-
Sjusjøen - Storåsen;SN12960;10.12.1977;46;2,1;-;-;-
Sjusjøen - Storåsen;SN12960;11.12.1977;46;0,6;-;-;-
Sjusjøen - Storåsen;SN12960;12.12.1977;50;11;-;-;-
Sjusjøen - Storåsen;SN12960;13.12.1977;52;3,4;-;-;-
Sjusjøen - Storåsen;SN12960;14.12.1977;52;0,4;-;-;-
Sjusjøen - Storåsen;SN12960;15.12.1977;50;0;-;-;-
Sjusjøen - Storåsen;SN12960;16.12.1977;50;0;-;-;-
Sjusjøen - Storåsen;SN12960;17.12.1977;50;0;-;-;-
Sjusjøen - Storåsen;SN12960;18.12.1977;50;0;-;-;-
Sjusjøen - Storåsen;SN12960;19.12.1977;50;0;-;-;-
Sjusjøen - Storåsen;SN12960;20.12.1977;49;0;-;-;-
Sjusjøen - Storåsen;SN12960;21.12.1977;48;0;-;-;-
Sjusjøen - Storåsen;SN12960;22.12.1977;47;0;-;-;-
Sjusjøen - Storåsen;SN12960;23.12.1977;46;1,1;-;-;-
Sjusjøen - Storåsen;SN12960;24.12.1977;54;11;-;-;-
Sjusjøen - Storåsen;SN12960;25.12.1977;59;7,4;-;-;-
Sjusjøen - Storåsen;SN12960;26.12.1977;58;0;-;-;-
Sjusjøen - Storåsen;SN12960;27.12.1977;57;0;-;-;-
Sjusjøen - Storåsen;SN12960;28.12.1977;68;15,6;-;-;-
Sjusjøen - Storåsen;SN12960;29.12.1977;68;0;-;-;-
Sjusjøen - Storåsen;SN12960;30.12.1977;69;2,3;-;-;-
Sjusjøen - Storåsen;SN12960;31.12.1977;66;4,1;-;-;-
Sjusjøen - Storåsen;SN12960;01.01.1978;64;2,1;-;-;-
Sjusjøen - Storåsen;SN12960;02.01.1978;64;0;-;-;-
Sjusjøen - Storåsen;SN12960;03.01.1978;60;0;-;-;-
Sjusjøen - Storåsen;SN12960;04.01.1978;58;0;-;-;-
Sjusjøen - Storåsen;SN12960;05.01.1978;54;0;-;-;-
Sjusjøen - Storåsen;SN12960;06.01.1978;55;0,6;-;-;-
Sjusjøen - Storåsen;SN12960;07.01.1978;55;0;-;-;-
Sjusjøen - Storåsen;SN12960;08.01.1978;54;0;-;-;-
Sjusjøen - Storåsen;SN12960;09.01.1978;54;0;-;-;-
Sjusjøen - Storåsen;SN12960;10.01.1978;54;2;-;-;-
Sjusjøen - Storåsen;SN12960;11.01.1978;54;0;-;-;-
Sjusjøen - Storåsen;SN12960;12.01.1978;54;0;-;-;-
Sjusjøen - Storåsen;SN12960;13.01.1978;55;0,3;-;-;-
Sjusjøen - Storåsen;SN12960;14.01.1978;54;0;-;-;-
Sjusjøen - Storåsen;SN12960;15.01.1978;53;0;-;-;-
Sjusjøen - Storåsen;SN12960;16.01.1978;52;0;-;-;-
Sjusjøen - Storåsen;SN12960;17.01.1978;55;6,9;-;-;-
Sjusjøen - Storåsen;SN12960;18.01.1978;58;4,8;-;-;-
Sjusjøen - Storåsen;SN12960;19.01.1978;61;3,4;-;-;-
Sjusjøen - Storåsen;SN12960;20.01.1978;63;5,6;-;-;-
Sjusjøen - Storåsen;SN12960;21.01.1978;64;3,5;-;-;-
Sjusjøen - Storåsen;SN12960;22.01.1978;66;2,3;-;-;-
Sjusjøen - Storåsen;SN12960;23.01.1978;68;1,1;-;-;-
Sjusjøen - Storåsen;SN12960;24.01.1978;70;1,9;-;-;-
Sjusjøen - Storåsen;SN12960;25.01.1978;70;0,2;-;-;-
Sjusjøen - Storåsen;SN12960;26.01.1978;69;0;-;-;-
Sjusjøen - Storåsen;SN12960;27.01.1978;76;3;-;-;-
Sjusjøen - Storåsen;SN12960;28.01.1978;80;2,4;-;-;-
Sjusjøen - Storåsen;SN12960;29.01.1978;83;5;-;-;-
Sjusjøen - Storåsen;SN12960;30.01.1978;80;2,9;-;-;-
Sjusjøen - Storåsen;SN12960;31.01.1978;84;13,9;-;-;-
Sjusjøen - Storåsen;SN12960;01.02.1978;89;10,5;-;-;-
Sjusjøen - Storåsen;SN12960;02.02.1978;99;6,6;-;-;-
Sjusjøen - Storåsen;SN12960;03.02.1978;100;2,9;-;-;-
Sjusjøen - Storåsen;SN12960;04.02.1978;99;0,6;-;-;-
Sjusjøen - Storåsen;SN12960;05.02.1978;106;4,7;-;-;-
Sjusjøen - Storåsen;SN12960;06.02.1978;107;2,6;-;-;-
Sjusjøen - Storåsen;SN12960;07.02.1978;107;0,4;-;-;-
Sjusjøen - Storåsen;SN12960;08.02.1978;106;0;-;-;-
Sjusjøen - Storåsen;SN12960;09.02.1978;103;0;-;-;-
Sjusjøen - Storåsen;SN12960;10.02.1978;100;0;-;-;-
Sjusjøen - Storåsen;SN12960;11.02.1978;95;0;-;-;-
Sjusjøen - Storåsen;SN12960;12.02.1978;93;0;-;-;-
Sjusjøen - Storåsen;SN12960;13.02.1978;93;1;-;-;-
Sjusjøen - Storåsen;SN12960;14.02.1978;93;1,4;-;-;-
Sjusjøen - Storåsen;SN12960;15.02.1978;93;0;-;-;-
Sjusjøen - Storåsen;SN12960;16.02.1978;93;0;-;-;-
Sjusjøen - Storåsen;SN12960;17.02.1978;92;0;-;-;-
Sjusjøen - Storåsen;SN12960;18.02.1978;92;0;-;-;-
Sjusjøen - Storåsen;SN12960;19.02.1978;92;0;-;-;-
Sjusjøen - Storåsen;SN12960;20.02.1978;91;0;-;-;-
Sjusjøen - Storåsen;SN12960;21.02.1978;90;0;-;-;-
Sjusjøen - Storåsen;SN12960;22.02.1978;89;2,2;-;-;-
Sjusjøen - Storåsen;SN12960;23.02.1978;90;0,6;-;-;-
Sjusjøen - Storåsen;SN12960;24.02.1978;92;1,9;-;-;-
Sjusjøen - Storåsen;SN12960;25.02.1978;95;2,9;-;-;-
Sjusjøen - Storåsen;SN12960;26.02.1978;100;7,6;-;-;-
Sjusjøen - Storåsen;SN12960;27.02.1978;100;8,7;-;-;-
Sjusjøen - Storåsen;SN12960;28.02.1978;100;0,7;-;-;-
Sjusjøen - Storåsen;SN12960;01.03.1978;103;6,4;-;-;-
Sjusjøen - Storåsen;SN12960;02.03.1978;102;0,4;-;-;-
